"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"47",-84.3535,31.88502,18.5,1274,380,91,2.784
"48",-85.65089,31.21858,18.5,1461,272,91,4.107
"49",-85.47607,31.69618,18.3,1385,321,91,3.377
"50",-85.40851,31.9379,17.9,1369,293,152,2.24885
"51",-86.20308,31.12331,18.4,1530,243,91,3.308
"52",-86.68836,31.23559,18.3,1571,245,91,3.76841666666667
"53",-86.03796,31.5913,18.3,1453,295,91,5.2415
"54",-86.51508,31.70837,18.3,1465,309,91,4.86035714285714
"55",-86.43819,31.95222,18.3,1429,292,152,10.4155
"56",-87.23207,31.12618,18.4,1643,191,91,11.57
"57",-87.79377,31.01303,18.5,1632,157,91,4.51014285714286
"58",-87.16719,31.35077,18.4,1610,202,91,5.12608333333333
"59",-87.07656,31.60291,18.2,1537,234,152,11.7151
"60",-87.56318,31.72718,18.1,1474,324,75,6.41538888888889
"61",-87.48735,31.96224,18,1439,341,30,6.15
"62",-88.27805,31.12908,18.4,1567,229,91,2.65673076923077
"63",-88.04678,31.85221,18.1,1426,325,30,9.496
"64",-109.36858,31.58028,14.3,592,811,1902,0.668
"65",-109.47158,31.94295,15.3,421,1054,1525,0.0840000000000001
"66",-110.26288,31.36322,15,708,772,1991,0.7525
"67",-110.42094,31.76911,15.3,478,921,1686,0.702
"68",-111.26213,31.45575,16.6,550,985,1407,0.7475
"69",-81.04866,32.15142,18.7,1311,200,30,3.115
"70",-81.52548,32.34431,18.8,1235,301,30,3.69914285714286
"71",-81.96727,32.7296,18.3,1214,356,30,4.2
"72",-82.44535,32.57717,18.3,1181,389,91,2.836
"73",-82.44086,32.8813,18,1193,375,91,2.942
"74",-82.94604,32.72036,18.2,1188,407,91,5.15835
"75",-83.35376,32.25657,18.5,1176,438,91,8.67842857142857
"76",-83.56225,32.45567,18.3,1179,439,91,4.13964285714286
"77",-83.07678,32.51452,18.2,1184,427,91,4.02378571428571
"78",-83.19736,32.71664,18.1,1169,436,122,6.3124375
"79",-83.53785,32.63163,18.2,1174,435,122,7.6996
"80",-83.97453,32.70549,17.7,1221,412,152,5.84
"81",-83.38203,32.89132,17.7,1178,424,152,1.61638888888889
"82",-84.18246,32.35301,18.2,1221,415,91,6.32486363636364
"83",-84.79819,32.25142,17.7,1309,359,152,3.7745
"84",-84.49335,32.97731,17,1301,371,213,5.198
"85",-84.75741,32.8669,16.7,1325,358,244,5.95385714285714
"86",-85.8703,32.04654,18.1,1380,301,152,8.41908333333333
"87",-85.31078,32.1618,17.6,1320,355,91,6.11833333333333
"88",-85.78754,32.30159,17.8,1363,340,91,3.85355555555556
"89",-85.23497,32.38578,17.5,1316,363,91,4.0168125
"90",-85.70959,32.52858,17.6,1379,336,91,3.71055555555555
"91",-85.13336,32.86119,16.9,1354,326,244,2.262
"92",-85.33568,32.81866,16.8,1392,321,213,4.14640909090909
"93",-121.41743,42.99044,6.3,677,606,1588,1.86
"94",-85.53625,32.99041,16.6,1408,319,213,6.844
"95",-86.92212,32.08172,18,1442,313,91,7.02825
"96",-86.3482,32.18164,18,1394,327,91,3.91341666666667
"97",-86.18965,32.65298,17.1,1385,325,152,3.81881818181818
"98",-86.67384,32.78649,16.8,1455,290,183,7.20666666666667
"99",-86.09886,32.89536,16.5,1443,289,213,4.03859090909091
"100",-87.03629,32.48383,17.8,1391,342,91,3.94
"101",-87.81875,32.5531,17.3,1404,327,30,2.505
"102",-87.24815,32.6666,17.5,1425,313,45,4.97333333333333
"103",-88.22012,32.90675,17.1,1386,343,30,4.038
"104",-103.78434,32.2154,17,342,1212,1072,2.48
"105",-105.47732,32.71962,10,521,723,2134,1.885
"106",-105.58684,32.85756,9.2,557,641,2256,1.06357142857143
"107",-105.48673,32.99086,9.7,554,659,2164,2.11758333333333
"108",-105.75004,32.89846,7.2,721,348,2652,1.79691666666667
"109",-107.67435,32.73227,12.8,443,918,1829,3.0818125
"110",-108.39114,32.42088,13.4,362,1056,1693,0.9575
"111",-108.54765,32.69825,11.9,422,920,1951,1.48338888888889
"112",-108.54715,32.92367,13.8,378,1135,1454,2.247
"113",-109.82913,32.62397,9.4,766,334,2662,2.72525
"114",-109.82113,32.71536,11.8,713,449,2132,4.8698
"115",-110.62999,31.99922,17.9,424,1175,1071,1.1375
"116",-110.09866,32.35511,12.8,633,654,2017,0.634285714285714
"117",-110.30472,32.62895,12.7,520,680,2010,0.612857142857143
"118",-110.40808,32.80592,16.8,458,956,1301,3.065
"119",-110.8416,32.63137,17.5,466,1026,1190,0.8125
"120",-110.94927,32.75987,16.8,521,845,1433,4.3175
"121",-79.27686,33.71708,17.5,1277,194,30,4.19991666666666
"122",-79.89238,33.61396,17.3,1243,261,30,2.188
"123",-80.63084,33.1137,18,1232,270,30,4.98741666666666
"124",-80.54133,33.33799,18,1232,256,25,3.79433333333333
"125",-80.72021,33.51062,12.5,1435,0,1585,2.05833333333333
"126",-80.81675,33.96293,17,1191,324,91,5.1213
"127",-81.58,33.40205,17.5,1204,345,91,4.3905
"128",-81.47768,33.63998,17.1,1211,330,121,3.74525
"129",-82.24223,33.04914,17.9,1190,386,30,3.9998
"130",-82.4915,33.24039,17.3,1202,370,122,2.485
"131",-82.07394,33.50774,17.1,1209,367,91,7.25575
"132",-82.55233,33.64828,16.7,1230,354,152,5.2071875
