"","lon","lat","ubc_mat","ubc_map","ubc_cmd","elevuse_m","ci_rng"
"393",-79.79807,36.23272,14.5,1105,285,213,4.66625
"394",-79.53773,36.69688,13.8,1119,284,213,4.3725
"395",-80.97746,36.1302,13.5,1261,185,396,4.19
"396",-80.28971,36.42648,13.4,1200,209,396,6.824
"397",-80.15201,36.62635,13.4,1215,191,335,5.01994444444444
"398",-80.74682,36.54503,12.8,1201,212,457,5.02489999999999
"399",-81.27232,36.06091,13.5,1313,156,396,4.26844117647059
"400",-81.53308,36.01739,13.3,1283,163,457,5.29025
"401",-81.27199,36.69597,9.9,1153,146,945,7.22078571428571
"402",-81.44273,36.88894,10.7,1143,171,823,6.52255555555555
"403",-82.95977,36.68515,12.2,1369,138,579,5.56745454545454
"404",-82.04724,36.80281,11.4,1247,152,762,4.95
"405",-83.84518,36.53321,11.7,1367,164,549,7.1354375
"406",-104.37478,36.65188,9,435,656,2139,5.522
"407",-105.60148,36.23109,5.8,558,474,2591,4.69
"408",-105.94435,36.28137,9.4,317,841,2012,4.0275
"409",-105.13557,36.35773,4.1,663,247,2986,3.31404545454545
"410",-105.39069,36.68805,3.8,563,384,2865,3.618125
"411",-105.55716,36.72724,6.7,357,708,2377,4.5405
"412",-106.7395,36.72086,6.5,432,665,2256,4.5075
"413",-106.90588,36.6768,6.2,459,617,2377,3.69426923076923
"414",-106.40463,36.81377,1.7,975,212,3274,5.15516666666666
"415",-107.0204,36.85506,6.7,496,641,2225,5.0825
"416",-107.23242,36.30552,8.3,336,812,2107,5.385
"417",-107.17841,36.5796,7.6,358,779,2134,5.15127777777778
"418",-107.1254,36.80298,6.9,453,682,2195,5.0291875
"419",-107.46608,36.84642,8.9,315,842,1951,5.29466666666667
"420",-107.69377,36.83942,9.8,326,853,1890,4.3345
"421",-110.05892,35.78164,10.8,268,990,1942,7.432
"422",-110.10322,36.54851,11.5,195,987,1774,6.108
"423",-110.72064,36.95466,10.9,255,906,1905,7.7775
"424",-111.73467,37.00056,13.2,213,992,1638,7.185
"425",-112.25829,36.47425,7.6,588,566,2505,5.755
"426",-112.06504,36.5965,10.2,458,658,2111,6.004
"427",-112.06479,36.86678,11.6,309,849,1836,5.5875
"428",-113.06657,36.11571,12.5,332,918,1668,7.715
"429",-113.28398,36.34555,12.2,296,955,1689,7.715
"430",-113.45906,36.48291,11.7,313,917,1679,5.94
"431",-115.67108,36.18374,10,404,731,2012,6.2025
"432",-118.32699,36.10557,8,501,767,1951,6.613
"433",-118.68332,36.08285,11.5,865,723,1554,4.8075
"434",-118.59438,36.20268,6.5,1067,456,2530,0.665
"435",-118.60878,36.45195,5.1,885,546,2311,4.89328571428571
"436",-118.88493,36.56402,15.1,748,835,823,0.985714285714286
"437",-118.72594,36.79301,8.3,895,595,1768,5.60181818181818
"438",-118.90793,36.80396,9.2,906,587,1798,0.862500000000001
"439",-119.16221,36.67409,16.5,549,1008,420,4.07285714285714
"440",-119.18786,36.91883,14.4,680,841,975,3.358
"441",-120.71516,36.07832,14.4,402,1140,427,2.216
"442",-120.81787,36.20733,15,400,1124,457,1.30181818181818
"443",-121.55488,36.3713,13.9,618,845,610,3.43291666666667
"444",-121.40859,36.63649,13.8,432,863,701,1.73879166666667
"445",-121.70974,37.0011,15.1,806,829,396,2.39208333333333
"446",-76.97282,37.15895,14.7,1139,216,30,2.08833333333333
"447",-76.86429,37.38399,14.6,1135,230,30,8.16516666666667
"448",-76.73764,37.6088,14.2,1113,248,30,9.892
